pattern,response,category
thank you very much,You're welcome! Let me know if there's anything else I can help with.,thanks
greetings,"Hello! I'm here to help with your company, employee, and security questions.",greeting
can you show me the employee list today,"I can help with company data, security checks, or employee-related questions. What would you like to do next?",follow_up
thanks today,You're welcome! Let me know if there's anything else I can help with.,thanks
what's up please,"Hello! I'm here to help with your company, employee, and security questions.",greeting
hey there!,"Hello! I'm here to help with your company, employee, and security questions.",greeting
tell me something,I'm a secure assistant trained to help with company and security-related queries. How can I assist you?,smalltalk
appreciate it for assistance,You're welcome! Let me know if there's anything else I can help with.,thanks
hey for help,"Hello! I'm here to help with your company, employee, and security questions.",greeting
what is your name for assistance,I'm a secure assistant trained to help with company and security-related queries. How can I assist you?,smalltalk
afternoon,"Hello! I'm here to help with your company, employee, and security questions.",greeting
what can you do?,I'm a secure assistant trained to help with company and security-related queries. How can I assist you?,smalltalk
good morning for assistance,"Hello! I'm here to help with your company, employee, and security questions.",greeting
i need help with my department?,"I can help with company data, security checks, or employee-related questions. What would you like to do next?",follow_up
thank you very much for help,You're welcome! Let me know if there's anything else I can help with.,thanks
what are the latest threats!,"I can help with company data, security checks, or employee-related questions. What would you like to do next?",follow_up
can you show me the employee list?,"I can help with company data, security checks, or employee-related questions. What would you like to do next?",follow_up
afternoon for assistance,"Hello! I'm here to help with your company, employee, and security questions.",greeting
i need help with security,"I can help with company data, security checks, or employee-related questions. What would you like to do next?",follow_up
thanks for that for assistance,You're welcome! Let me know if there's anything else I can help with.,thanks
hello there!,"Hello! I'm here to help with your company, employee, and security questions.",greeting
what's up?,"Hello! I'm here to help with your company, employee, and security questions.",greeting
hello!,"Hello! I'm here to help with your company, employee, and security questions.",greeting
morning!,"Hello! I'm here to help with your company, employee, and security questions.",greeting
hello there,"Hello! I'm here to help with your company, employee, and security questions.",greeting
good afternoon for help,"Hello! I'm here to help with your company, employee, and security questions.",greeting
good afternoon!,"Hello! I'm here to help with your company, employee, and security questions.",greeting
what is your name!,I'm a secure assistant trained to help with company and security-related queries. How can I assist you?,smalltalk
how is it going please,I'm a secure assistant trained to help with company and security-related queries. How can I assist you?,smalltalk
tell me something today,I'm a secure assistant trained to help with company and security-related queries. How can I assist you?,smalltalk
appreciate it!,You're welcome! Let me know if there's anything else I can help with.,thanks
what do you know for assistance,I'm a secure assistant trained to help with company and security-related queries. How can I assist you?,smalltalk
hey please,"Hello! I'm here to help with your company, employee, and security questions.",greeting
good evening today,"Hello! I'm here to help with your company, employee, and security questions.",greeting
