timestamp
yyy-mm-dd hh-mm-ss


src_ip

dst_ip

src_port

dst_port

protocol

bytes_sent

bytes_received

user_agent

url
DateTime	Count
10/01/2025 - 10/10/2025	952
10/10/2025 - 10/19/2025	1,005
10/19/2025 - 10/27/2025	954
10/27/2025 - 11/05/2025	1,001
11/05/2025 - 11/14/2025	1,021
11/14/2025 - 11/23/2025	1,007
11/23/2025 - 12/02/2025	1,046
12/02/2025 - 12/11/2025	1,055
12/11/2025 - 12/20/2025	1,010
12/20/2025 - 12/29/2025	949
DateTime	Count
10/01/2025 - 10/10/2025	952
10/10/2025 - 10/19/2025	1,005
10/19/2025 - 10/27/2025	954
10/27/2025 - 11/05/2025	1,001
11/05/2025 - 11/14/2025	1,021
11/14/2025 - 11/23/2025	1,007
11/23/2025 - 12/02/2025	1,046
12/02/2025 - 12/11/2025	1,055
12/11/2025 - 12/20/2025	1,010
12/20/2025 - 12/29/2025	949
2025-10-01
2025-12-30
10000

unique values
10000

unique values
Label	Count
21.00 - 6571.30	2,558
6571.30 - 13121.60	856
13121.60 - 19671.90	865
19671.90 - 26222.20	829
26222.20 - 32772.50	798
32772.50 - 39322.80	834
39322.80 - 45873.10	836
45873.10 - 52423.40	779
52423.40 - 58973.70	800
58973.70 - 65524.00	845
Label	Count
21.00 - 6571.30	2,558
6571.30 - 13121.60	856
13121.60 - 19671.90	865
19671.90 - 26222.20	829
26222.20 - 32772.50	798
32772.50 - 39322.80	834
39322.80 - 45873.10	836
45873.10 - 52423.40	779
52423.40 - 58973.70	800
58973.70 - 65524.00	845
21
65.5k
Label	Count
5.00 - 6553.60	9,666
6553.60 - 13102.20	34
13102.20 - 19650.80	44
19650.80 - 26199.40	48
26199.40 - 32748.00	40
32748.00 - 39296.60	39
39296.60 - 45845.20	39
45845.20 - 52393.80	35
52393.80 - 58942.40	25
58942.40 - 65491.00	30
Label	Count
5.00 - 6553.60	9,666
6553.60 - 13102.20	34
13102.20 - 19650.80	44
19650.80 - 26199.40	48
26199.40 - 32748.00	40
32748.00 - 39296.60	39
39296.60 - 45845.20	39
45845.20 - 52393.80	35
52393.80 - 58942.40	25
58942.40 - 65491.00	30
5
65.5k
TCP
78%
UDP
19%
Other (325)
3%
Label	Count
17.00 - 13917055.80	9,989
13917055.80 - 27834094.60	3
27834094.60 - 41751133.40	2
41751133.40 - 55668172.20	2
55668172.20 - 69585211.00	2
69585211.00 - 83502249.80	1
125253366.20 - 139170405.00	1
Label	Count
17.00 - 13917055.80	9,989
13917055.80 - 27834094.60	3
27834094.60 - 41751133.40	2
41751133.40 - 55668172.20	2
55668172.20 - 69585211.00	2
69585211.00 - 83502249.80	1
125253366.20 - 139170405.00	1
17
139m
Label	Count
3.00 - 29148298.60	9,992
29148298.60 - 58296594.20	2
58296594.20 - 87444889.80	1
87444889.80 - 116593185.40	3
116593185.40 - 145741481.00	1
262334663.40 - 291482959.00	1
Label	Count
3.00 - 29148298.60	9,992
29148298.60 - 58296594.20	2
58296594.20 - 87444889.80	1
87444889.80 - 116593185.40	3
116593185.40 - 145741481.00	1
262334663.40 - 291482959.00	1
3
291m
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36
35%
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
25%
Other (4057)
41%
[null]
32%
https://webmail.corp/login?id=385071
0%
Other (6767)
68%
2025-10-01 00:12:54
188.176.27.165
253.240.113.218
56377
445
TCP
8029
17204
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Sa...
https://webmail.corp/login?id=385071
2025-10-01 00:23:43
68.59.26.43
212.75.38.111
51165
1433
TCP
676368
2643374
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Sa...
https://portal.example.org/owa/auth/logon.aspx?id=280743
2025-10-01 00:25:46
119.204.243.78
90.28.90.234
14948
1433
TCP
316502
38571
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0
2025-10-01 00:27:21
122.119.194.175
175.140.78.230
36097
443
TCP
70933
21935
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Sa...
https://webmail.corp/phpmyadmin?id=114701
2025-10-01 00:40:09
181.199.242.68
55.99.177.69
445
21255
TCP
12721
9939
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Sa...
https://portal.example.org/config.php?id=345569
2025-10-01 00:56:45
38.222.6.74
191.130.7.118
58858
445
UDP
150393
94993
curl/8.4.0
2025-10-01 01:19:57
238.229.195.174
16.182.72.24
25167
443
TCP
3592
1081
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers...
https://internal.bank.local/?id=432022
2025-10-01 01:34:30
81.21.49.235
119.87.191.7
37602
22
TCP
123317
41293
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Sa...
https://webmail.corp/phpmyadmin?id=957608
2025-10-01 01:35:33
137.181.221.157
44.124.13.254
18315
53
TCP
97222
233071
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0
https://internal.bank.local/admin?id=567716
2025-10-01 01:40:38
236.139.171.70
89.15.217.112
12283
21
TCP
17289
35727
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers...
2025-10-01 01:57:54
69.50.130.168
202.51.199.195
12037
80
UDP
136311
418831
